iter	RMSE
671	0.5430640448
672	0.5428468616
673	0.5426988104
674	0.5424597852
675	0.5424427668
676	0.5422860112
677	0.5421523081
678	0.5419361904
679	0.5418300794
680	0.5416656165
681	0.541488868
682	0.5413460455
683	0.5412562339
684	0.5409861694
685	0.5408081557
686	0.5406073879
687	0.5404428424
688	0.5402857076
689	0.5399739905
690	0.5397366116
691	0.5394949644
692	0.5392308475
693	0.5388941987
694	0.5386567864
695	0.5384930907
696	0.5382482182
697	0.5380695332
698	0.5377411924
699	0.5374214082

